OrderID,OrderDate,Region,CustomerSegment,ProductCategory,SalesChannel,UnitsSold,UnitPrice,UnitCost,TotalRevenue,TotalCost,TotalProfit,ProfitMargin_Pct
1005530,2021-01-01,EMEA,B2B Enterprise,Server Hardware,Online Portal,37,810,483,29970,17871,12099,40.4
1003731,2021-01-01,North America,B2C Retail,Cloud Services,Direct Sales,16,47,34,752,544,208,27.7
1004858,2021-01-01,EMEA,Government,Server Hardware,Direct Sales,26,765,561,19890,14586,5304,26.7
1004591,2021-01-01,North America,SMB,Server Hardware,Partner Network,26,787,333,20462,8658,11804,57.7
1008820,2021-01-01,North America,SMB,Cloud Services,Online Portal,28,54,25,1512,700,812,53.7
1000411,2021-01-01,EMEA,B2C Retail,Cloud Services,Direct Sales,13,51,20,663,260,403,60.8
1004317,2021-01-01,APAC,B2B Enterprise,Cloud Services,Online Portal,36,54,21,1944,756,1188,61.1
1002688,2021-01-02,North America,B2C Retail,Cloud Services,Partner Network,32,54,28,1728,896,832,48.1
1005801,2021-01-02,LATAM,B2B Enterprise,Cloud Services,Direct Sales,22,47,23,1034,506,528,51.1
1000129,2021-01-02,North America,SMB,Cloud Services,Partner Network,19,55,30,1045,570,475,45.5
1005554,2021-01-02,LATAM,SMB,Enterprise Software,Direct Sales,24,222,136,5328,3264,2064,38.7
1007627,2021-01-02,LATAM,B2B Enterprise,Cloud Services,Online Portal,29,49,35,1421,1015,406,28.6
1004761,2021-01-02,APAC,B2B Enterprise,Server Hardware,Partner Network,31,653,489,20243,15159,5084,25.1
1009152,2021-01-02,APAC,B2B Enterprise,Enterprise Software,Partner Network,34,270,197,9180,6698,2482,27.0
1003102,2021-01-02,North America,B2C Retail,Cloud Services,Online Portal,41,50,19,2050,779,1271,62.0
1003163,2021-01-03,North America,B2B Enterprise,Enterprise Software,Direct Sales,18,245,168,4410,3024,1386,31.4
1007623,2021-01-03,North America,Government,Server Hardware,Partner Network,17,725,307,12325,5219,7106,57.7
1002708,2021-01-03,North America,B2C Retail,Enterprise Software,Online Portal,21,232,147,4872,3087,1785,36.6
1009363,2021-01-03,EMEA,Government,Enterprise Software,Partner Network,26,228,147,5928,3822,2106,35.5
1004218,2021-01-03,LATAM,SMB,Enterprise Software,Online Portal,28,249,169,6972,4732,2240,32.1
1009263,2021-01-03,North America,B2C Retail,Server Hardware,Partner Network,17,640,343,10880,5831,5049,46.4
1006087,2021-01-03,EMEA,Government,Server Hardware,Online Portal,9,767,419,6903,3771,3132,45.4
1002917,2021-01-03,APAC,B2C Retail,Enterprise Software,Online Portal,31,227,92,7037,2852,4185,59.5
1000797,2021-01-03,North America,B2B Enterprise,Cloud Services,Partner Network,31,43,28,1333,868,465,34.9
1000388,2021-01-04,APAC,SMB,Cloud Services,Direct Sales,34,52,31,1768,1054,714,40.4
1001492,2021-01-04,North America,B2C Retail,Enterprise Software,Online Portal,19,230,160,4370,3040,1330,30.4
1005293,2021-01-04,LATAM,B2B Enterprise,Cloud Services,Partner Network,15,51,21,765,315,450,58.8
1003137,2021-01-04,APAC,B2B Enterprise,Server Hardware,Direct Sales,14,706,411,9884,5754,4130,41.8
1008500,2021-01-04,EMEA,SMB,Server Hardware,Direct Sales,50,793,529,39650,26450,13200,33.3
1008659,2021-01-04,North America,B2C Retail,Cloud Services,Partner Network,26,48,23,1248,598,650,52.1
1008999,2021-01-05,North America,B2C Retail,Cloud Services,Direct Sales,33,44,15,1452,495,957,65.9
1009405,2021-01-05,North America,B2B Enterprise,Consulting,Direct Sales,43,388,159,16684,6837,9847,59.0
1003749,2021-01-05,APAC,B2B Enterprise,Cloud Services,Direct Sales,10,48,18,480,180,300,62.5
