customer_id,tenure_months,contract_type,network_type,monthly_bill,total_call_duration,days_since_recharge,network_drops,complaints,churn_label
TEL-10000,61,2-Year,5G,79.69,362,26,1,0,0
TEL-10001,2,1-Year,5G,38.18,414,18,1,0,0
TEL-10002,15,Month-to-Month,4G,65.61,405,33,1,0,1
TEL-10003,60,Month-to-Month,5G,76.33,478,27,0,0,0
TEL-10004,50,Month-to-Month,4G,86.25,531,8,1,0,0
TEL-10005,48,2-Year,4G,52.65,617,54,6,2,0
TEL-10006,41,2-Year,4G,49.63,218,14,0,0,0
TEL-10007,41,1-Year,5G,111.5,474,39,0,0,0
TEL-10008,47,Month-to-Month,4G,91.32,554,43,2,0,0
TEL-10009,63,,4G,109.58,895,17,2,0,0
TEL-10010,28,2-Year,4G,112.97,575,39,4,2,0
TEL-10011,62,1-Year,5G,31.01,441,13,3,2,1
TEL-10012,44,Month-to-Month,4G,44.41,427,22,1,0,1
TEL-10013,56,1-Year,5G,23.69,509,52,0,0,0
TEL-10014,32,Month-to-Month,5G,79.27,467,21,0,2,0
TEL-10015,59,1-Year,5G,38.65,514,22,2,0,0
TEL-10016,39,Month-to-Month,4G,113.67,441,19,0,3,0
TEL-10017,60,1-Year,4G,46.08,650,29,0,0,0
TEL-10018,36,Month-to-Month,5G,109.86,543,20,0,0,0
TEL-10019,33,Month-to-Month,5G,69.39,430,16,2,1,0
TEL-10020,30,1-Year,4G,117.3,631,25,1,1,0
TEL-10021,19,Month-to-Month,5G,77.2,498,29,0,2,0
TEL-10022,60,Month-to-Month,4G,105.3,372,12,3,0,1
TEL-10023,24,1-Year,4G,40.89,327,41,0,0,0
TEL-10024,42,1-Year,4G,100.94,545,30,4,0,0
TEL-10025,15,1-Year,5G,57.56,524,19,0,0,0
TEL-10026,70,Month-to-Month,4G,50.33,201,32,3,0,0
TEL-10027,55,Month-to-Month,4G,33.84,303,8,2,0,1
TEL-10028,1,1-Year,4G,64.24,452,25,0,3,0
TEL-10029,67,1-Year,4G,44.77,0,105,0,0,1
TEL-10030,48,Month-to-Month,4G,100.69,427,7,2,0,0
