customer_id,tenure_months,contract_type,network_type,monthly_bill,total_call_duration,days_since_recharge,network_drops,complaints,churn_label,avg_calls_per_month,frustration_index,contract_type_encoded,network_type_encoded,churn_probability,Customer_Segment
TEL-10000,61,2-Year,5G,79.69,362,26,1,0,0,5.84,1.5,1,1,0.017103845033647144,Loyal
TEL-10001,2,1-Year,5G,38.18,414,18,1,0,0,138.0,1.5,0,1,0.03550369166801382,Loyal
TEL-10002,15,Month-to-Month,4G,65.61,405,33,1,0,1,25.31,1.5,2,0,0.2745603882215102,Loyal
TEL-10003,60,Month-to-Month,5G,76.33,478,27,0,0,0,7.84,0.0,2,1,0.068247143878018,Loyal
TEL-10004,50,Month-to-Month,4G,86.25,531,8,1,0,0,10.41,1.5,2,0,0.1754111360310879,Loyal
TEL-10005,48,2-Year,4G,52.65,617,54,6,2,0,12.59,15.0,1,0,0.17166135267555827,At Risk
TEL-10006,41,2-Year,4G,49.63,218,14,0,0,0,5.19,0.0,1,0,0.028585256809008745,Loyal
TEL-10007,41,1-Year,5G,111.5,474,39,0,0,0,11.29,0.0,0,1,0.03148031685682085,Loyal
TEL-10008,47,Month-to-Month,4G,91.32,554,43,2,0,0,11.54,3.0,2,0,0.17064634298954665,Loyal
TEL-10009,63,Month-to-Month,4G,109.58,895,17,2,0,0,13.98,3.0,2,0,0.19788971129027616,Loyal
TEL-10010,28,2-Year,4G,112.97,575,39,4,2,0,19.83,12.0,1,0,0.17881732094637467,At Risk
TEL-10011,62,1-Year,5G,31.01,441,13,3,2,1,7.0,10.5,0,1,0.11673679568828954,At Risk
TEL-10012,44,Month-to-Month,4G,44.41,427,22,1,0,1,9.49,1.5,2,0,0.16886241467619445,Loyal
TEL-10013,56,1-Year,5G,23.69,509,52,0,0,0,8.93,0.0,0,1,0.05430734577390239,Loyal
TEL-10014,32,Month-to-Month,5G,79.27,467,21,0,2,0,14.15,6.0,2,1,0.08612053970297864,Loyal
TEL-10015,59,1-Year,5G,38.65,514,22,2,0,0,8.57,3.0,0,1,0.026120661625988393,Loyal
TEL-10016,39,Month-to-Month,4G,113.67,441,19,0,3,0,11.03,9.0,2,0,0.3397189772715421,At Risk
TEL-10017,60,1-Year,4G,46.08,650,29,0,0,0,10.66,0.0,0,0,0.027283090016095624,Loyal
TEL-10018,36,Month-to-Month,5G,109.86,543,20,0,0,0,14.68,0.0,2,1,0.07702663809218749,Loyal
TEL-10019,33,Month-to-Month,5G,69.39,430,16,2,1,0,12.65,6.0,2,1,0.07254468650026304,Loyal
TEL-10020,30,1-Year,4G,117.3,631,25,1,1,0,20.35,4.5,0,0,0.03350628041477153,Loyal
TEL-10021,19,Month-to-Month,5G,77.2,498,29,0,2,0,24.9,6.0,2,1,0.13327632816011659,Loyal
TEL-10022,60,Month-to-Month,4G,105.3,372,12,3,0,1,6.1,4.5,2,0,0.17119541754115075,Loyal
TEL-10023,24,1-Year,4G,40.89,327,41,0,0,0,13.08,0.0,0,0,0.08515577347746865,Loyal
TEL-10024,42,1-Year,4G,100.94,545,30,4,0,0,12.67,6.0,0,0,0.04793658495618518,Loyal
TEL-10025,15,1-Year,5G,57.56,524,19,0,0,0,32.75,0.0,0,1,0.021487299440495922,Loyal
TEL-10026,70,Month-to-Month,4G,50.33,201,32,3,0,0,2.83,4.5,2,0,0.13712576165266666,Loyal
TEL-10027,55,Month-to-Month,4G,33.84,303,8,2,0,1,5.41,3.0,2,0,0.18131155704433632,Loyal
TEL-10028,1,1-Year,4G,64.24,452,25,0,3,0,226.0,9.0,0,0,0.13451419440024706,At Risk
TEL-10029,67,1-Year,4G,44.77,0,105,0,0,1,0.0,0.0,0,0,1.0,Dormant
